NoOnePass1,NoOnePass2,WalkPass_1,WalkPass_2
-52,-44,-52,-41
-49,-44,-48,-42
-46,-44,-44,-41
-47,-44,-53,-40
-49,-44,-52,-42
-49,-48,-48,-45
-48,-44,-45,-39
-58,-44,-50,-43
-49,-48,-45,-45
-47,-48,-43,-51
-47,-45,-52,-47
-60,-48,-52,-49
-48,-43,-48,-45
-46,-43,-48,-50
-58,-45,-43,-49
-47,-48,-54,-45
-57,-44,-54,-48
-56,-48,-48,-47
-57,-43,-47,-51
-47,-44,-51,-49
-57,-44,-48,-50
-48,-48,-48,-47
-48,-43,-45,-48
-55,-44,-55,-48
-49,-48,-47,-45
-46,-43,-51,-48
-55,-44,-57,-49
-52,-47,-60,-49
-46,-47,-70,-45
-59,-43,-53,-45
-49,-49,-69,-49
-46,-50,-56,-50
-58,-43,-46,-45
-56,-44,-46,-47
-47,-48,-45,-47
-55,-50,-44,-45
-55,-43,-44,-48
-50,-43,-46,-52
-46,-44,-44,-45
-57,-47,-51,-48
-49,-43,-45,-51
-46,-43,-46,-49
-53,-44,-43,-45
-50,-47,-49,-47
-47,-43,-44,-53
-53,-43,-48,-49
-47,-50,-41,-53
-53,-43,-42,-42
-50,-50,-42,-53
-47,-43,-49,-54
-47,-44,-41,-50
-50,-44,-42,-57
-47,-48,-43,-60
-54,-43,-42,-51
-50,-44,-42,-46
-47,-47,-42,-44
-54,-43,-48,-45
-54,-44,-49,-52
-50,-48,-41,-44
-47,-48,-42,-46
-54,-43,-47,-45
-47,-43,-42,-50
-54,-43,-46,-45
-50,-48,-42,-46
-50,-48,-42,-47
-47,-43,-42,-46
-46,-43,-47,-48
-54,-47,-42,-50
-49,-43,-42,-45
-44,-47,-42,-46
-55,-42,-47,-48
-50,-43,-42,-44
-46,-43,-42,-50
-52,-47,-48,-45
-49,-43,-42,-47
-45,-51,-46,-50
-51,-50,-46,-47
-47,-48,-41,-50
-51,-51,-42,-49
-51,-47,-47,-44
-46,-51,-47,-50
-52,-50,-41,-44
-45,-47,-48,-46
-45,-51,-41,-50
-55,-47,-42,-45
-48,-51,-48,-45
-55,-51,-41,-47
-48,-50,-42,-49
-50,-47,-41,-45
-46,-51,-40,-45
-52,-51,-42,-48
-49,-50,-45,-49
-48,-50,-39,-50
-46,-47,-43,-45
-54,-51,-45,-47
-46,-50,,-49
-53,-51,,-45
-49,-50,,-47
-46,-47,,-49
-46,-50,,-45
-50,-50,,-47
-46,-47,,-49
-46,-47,,-44
-53,-47,,-45
-50,-47,,-48
-46,-50,,-50
-53,-47,,-45
-50,-47,,-47
-46,-51,,-47
-55,-52,,-49
-55,-49,,-45
-49,-47,,-46
-57,-51,,-46
,-51,,-47
,-50,,-45
,-52,,-48
,-50,,-44
,-47,,-47
,-50,,-51
,-50,,-45
,-47,,-46
,-52,,-48
,-49,,-47
,-46,,-55
,-47,,-54